date,asset,shares,price,market_value,weight_pct,score,bucket,days_held,is_core_asset
2025-01-08,COST,3,914.33,2782.11,2.7757,0.0,Risk Assets,1,false
2025-01-08,NOW,2,1059.3,2098.16,2.0933,0.0,Risk Assets,1,false
2025-01-08,CRM,9,332.1,2942.1,2.9353,0.0,Unknown,1,false
2025-01-08,CRWD,8,349.23,2869.76,2.8631,0.0,Risk Assets,1,false
2025-01-08,NVDA,21,140.01,2942.31,2.9355,0.0,Risk Assets,1,false
2025-01-08,AMT,16,181.25,2867.04,2.8604,0.0,Risk Assets,1,false
2025-01-08,XLY,22,222.64,4906.22,4.8949,0.0,Cyclicals,1,false
2025-01-08,WMT,33,90.15,3029.4,3.0224,0.0,Risk Assets,1,false
2025-01-08,MSFT,7,421.08,2971.92,2.965,0.0,Risk Assets,1,false
2025-01-08,CME,12,231.64,2751.6,2.7452,0.0,Risk Assets,1,false
2025-01-08,COP,29,100.62,2946.98,2.9402,0.0,Risk Assets,1,false
2025-01-08,KO,48,61.9,2962.08,2.9552,0.0,Risk Assets,1,false
2025-01-08,APH,43,69.45,3088.69,3.0815,0.0,Risk Assets,1,false
2025-01-08,JPM,12,243.89,2917.56,2.9108,0.0,Risk Assets,1,false
2025-01-08,MA,5,522.53,2582.0,2.576,0.0,Risk Assets,1,false
2025-01-08,AVGO,12,233.59,2751.72,2.7454,0.0,Risk Assets,1,false
2025-01-08,ANET,26,112.48,3003.26,2.9963,0.0,Risk Assets,1,false
2025-01-08,LOW,12,248.12,2962.68,2.9558,0.0,Risk Assets,1,false
2025-01-08,GOOG,15,192.72,2930.85,2.9241,0.0,Risk Assets,1,false
2025-01-08,XRP,1249,2.4,2963.5,2.9566,0.0,Unknown,1,false
2025-01-08,AMZN,13,222.5,2887.69,2.881,0.0,Risk Assets,1,false
2025-01-08,NFLX,3,893.13,2625.0,2.6189,0.0,Risk Assets,1,false
2025-01-08,HON,13,225.98,2862.21,2.8556,0.0,Risk Assets,1,false
2025-01-08,BA,17,171.4,2919.92,2.9132,0.0,Risk Assets,1,false
2025-01-08,GOOGL,15,191.37,2909.25,2.9025,0.0,Risk Assets,1,false
2025-01-08,DAI,3000,1.0,2999.7,2.9928,0.0,High Beta,1,false
2025-01-08,AAPL,12,243.36,2912.4,2.9057,0.0,Risk Assets,1,false
2025-01-08,DIS,27,111.37,2963.52,2.9567,0.0,Risk Assets,1,false
2025-01-09,SPHB,33,89.17,2978.58,2.9806,0.0,High Beta,1,false
2025-01-09,PFE,112,26.7,3008.32,3.0104,0.0,Risk Assets,1,false
2025-01-09,TSLA,7,381.48,2764.58,2.7665,0.0,Risk Assets,1,false
2025-01-09,SOL,14,208.1,2589.44,2.5912,0.0,Unknown,1,false
2025-01-09,RKLB,120,25.02,3283.2,3.2854,0.0,Risk Assets,1,false
2025-01-09,CSCO,50,58.84,2960.0,2.962,0.0,Risk Assets,1,false
2025-01-09,COST,3,914.33,2782.11,2.784,0.0,Risk Assets,1,false
2025-01-09,NOW,2,1059.3,2098.16,2.0996,0.0,Risk Assets,1,false
2025-01-09,CRM,9,332.1,2942.1,2.9441,0.0,Unknown,1,false
2025-01-09,CRWD,8,349.23,2869.76,2.8717,0.0,Risk Assets,1,false
2025-01-09,NVDA,21,140.01,2942.31,2.9443,0.0,Risk Assets,1,false
2025-01-09,AMT,16,181.25,2867.04,2.869,0.0,Risk Assets,1,false
2025-01-09,XLY,22,222.64,4906.22,4.9095,0.0,Cyclicals,1,false
2025-01-09,WMT,33,90.15,3029.4,3.0315,0.0,Risk Assets,1,false
2025-01-09,MSFT,7,421.08,2971.92,2.9739,0.0,Risk Assets,1,false
2025-01-09,CME,12,231.64,2751.6,2.7535,0.0,Risk Assets,1,false
2025-01-09,COP,29,100.62,2946.98,2.949,0.0,Risk Assets,1,false
2025-01-09,KO,48,61.9,2962.08,2.9641,0.0,Risk Assets,1,false
2025-01-09,APH,43,69.45,3088.69,3.0908,0.0,Risk Assets,1,false
2025-01-09,JPM,12,243.89,2917.56,2.9195,0.0,Risk Assets,1,false
2025-01-09,MA,5,522.53,2582.0,2.5837,0.0,Risk Assets,1,false
2025-01-09,AVGO,12,233.59,2751.72,2.7536,0.0,Risk Assets,1,false
2025-01-09,ANET,26,112.48,3003.26,3.0053,0.0,Risk Assets,1,false
2025-01-09,LOW,12,248.12,2962.68,2.9647,0.0,Risk Assets,1,false
2025-01-09,GOOG,15,192.72,2930.85,2.9328,0.0,Risk Assets,1,false
2025-01-09,XRP,1249,2.4,2838.48,2.8404,0.0,Unknown,1,false
2025-01-09,AMZN,13,222.5,2887.69,2.8896,0.0,Risk Assets,1,false
2025-01-09,NFLX,3,893.13,2625.0,2.6268,0.0,Risk Assets,1,false
2025-01-09,HON,13,225.98,2862.21,2.8641,0.0,Risk Assets,1,false
